
0	0
50000	7149
100000	25071
150000	48128
200000	81011
250000	117353
300000	182828
350000	213937
400000	268941
450000	321632
500000	387590
550000	462682
600000	543555
650000	617775
700000	703875
750000	803337
800000	903364
850000	1006225
900000	1128747
950000	1301994
1000000	1383120
